Level	Kanji	KanjiStroke	Meaning	Type	DO NOT CHANGE	Tags
12	暑	"<img src=""06691.svg"">"	Hot, Hot Weather	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L5
12	僕	"<img src=""050d5.svg"">"	I, Me	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L5
12	島	"<img src=""05cf6.svg"">"	Island	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L5
12	都	"<img src=""090fd.svg"">"	Metropolis	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L5
13	熱	"<img src=""071b1.svg"">"	Heat, Fever	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L5
14	性	"<img src=""06027.svg"">"	Gender, Nature, Sex	Kanji Drawing	-	Kanji_Drawing Level_14 Genki_L5
15	丈	"<img src=""04e08.svg"">"	Height, Ten Feet	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L5
15	夫	"<img src=""0592b.svg"">"	Husband	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L5
16	面	"<img src=""09762.svg"">"	Face, Surface	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L5
18	達	"<img src=""09054.svg"">"	Attain, Plural	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L5
18	静	"<img src=""09759.svg"">"	Quiet	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L5
19	忙	"<img src=""05fd9.svg"">"	Busy	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L5
20	難	"<img src=""096e3.svg"">"	Difficult	Kanji Drawing	-	Kanji_Drawing Level_20 Genki_L5
20	嫌	"<img src=""05acc.svg"">"	Dislike	Kanji Drawing	-	Kanji_Drawing Level_20 Genki_L5
20	産	"<img src=""07523.svg"">"	Give Birth, Birth	Kanji Drawing	-	Kanji_Drawing Level_20 Genki_L5
23	城	"<img src=""057ce.svg"">"	Castle	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L5
27	暇	"<img src=""06687.svg"">"	Spare Time, Free Time	Kanji Drawing	-	Kanji_Drawing Level_27 Genki_L5
29	航	"<img src=""0822a.svg"">"	Navigation	Kanji Drawing	-	Kanji_Drawing Level_29 Genki_L5
29	怖	"<img src=""06016.svg"">"	Scary	Kanji Drawing	-	Kanji_Drawing Level_29 Genki_L5
31	富	"<img src=""05bcc.svg"">"	Rich	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L5
31	徳	"<img src=""05fb3.svg"">"	Virtue	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L5
38	緒	"<img src=""07dd2.svg"">"	Together	Kanji Drawing	-	Kanji_Drawing Level_38 Genki_L5
39	仙	"<img src=""04ed9.svg"">"	Hermit	Kanji Drawing	-	Kanji_Drawing Level_39 Genki_L5
41	包	"<img src=""05305.svg"">"	Wrap	Kanji Drawing	-	Kanji_Drawing Level_41 Genki_L5
48	踊	"<img src=""08e0a.svg"">"	Dance	Kanji Drawing	-	Kanji_Drawing Level_48 Genki_L5
54	阿	"<img src=""0963f.svg"">"	Flatter	Kanji Drawing	-	Kanji_Drawing Level_54 Genki_L5
11	利	"<img src=""05229.svg"">"	Profit, Benefit, Advantage	Kanji Drawing	-	Kanji_Drawing Level_11 Genki_L6
11	伝	"<img src=""04f1d.svg"">"	Transmit, Tell	Kanji Drawing	-	Kanji_Drawing Level_11 Genki_L6
12	期	"<img src=""0671f.svg"">"	Period Of Time, Time Period	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L6
12	短	"<img src=""077ed.svg"">"	Short	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L6
13	皆	"<img src=""07686.svg"">"	All, Everyone, Everything, Everybody	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L6
14	折	"<img src=""06298.svg"">"	Fold, Bend	Kanji Drawing	-	Kanji_Drawing Level_14 Genki_L6
16	浴	"<img src=""06d74.svg"">"	Bathe	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L6
16	荷	"<img src=""08377.svg"">"	Luggage	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L6
17	席	"<img src=""05e2d.svg"">"	Seat	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L6
17	側	"<img src=""05074.svg"">"	Side	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L6
18	等	"<img src=""07b49.svg"">"	Equal	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L6
18	座	"<img src=""05ea7.svg"">"	Sit, Seat	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L6
21	制	"<img src=""05236.svg"">"	Control, System	Kanji Drawing	-	Kanji_Drawing Level_21 Genki_L6
21	義	"<img src=""07fa9.svg"">"	Righteousness	Kanji Drawing	-	Kanji_Drawing Level_21 Genki_L6
21	務	"<img src=""052d9.svg"">"	Task	Kanji Drawing	-	Kanji_Drawing Level_21 Genki_L6
22	吸	"<img src=""05438.svg"">"	Suck, Inhale	Kanji Drawing	-	Kanji_Drawing Level_22 Genki_L6
24	輸	"<img src=""08f38.svg"">"	Transport	Kanji Drawing	-	Kanji_Drawing Level_24 Genki_L6
25	輩	"<img src=""08f29.svg"">"	Comrade	Kanji Drawing	-	Kanji_Drawing Level_25 Genki_L6
25	構	"<img src=""069cb.svg"">"	Set Up, Care	Kanji Drawing	-	Kanji_Drawing Level_25 Genki_L6
25	渡	"<img src=""06e21.svg"">"	Transit	Kanji Drawing	-	Kanji_Drawing Level_25 Genki_L6
27	極	"<img src=""06975.svg"">"	Extreme	Kanji Drawing	-	Kanji_Drawing Level_27 Genki_L6
28	稚	"<img src=""07a1a.svg"">"	Immature	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L6
28	幼	"<img src=""05e7c.svg"">"	Infancy, Childhood	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L6
30	遊	"<img src=""0904a.svg"">"	Play	Kanji Drawing	-	Kanji_Drawing Level_30 Genki_L6
33	閉	"<img src=""09589.svg"">"	Closed, Close, Closure	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L6
34	降	"<img src=""0964d.svg"">"	Descend	Kanji Drawing	-	Kanji_Drawing Level_34 Genki_L6
